epo_train,disc_train,gen_train
998,0.000325,0.165505
999,0.000516,0.164518
1000,0.00069,0.164327
1001,0.000608,0.16521
1002,0.000247,0.1648
1003,0.000299,0.163414
1004,0.000714,0.164279
1005,0.000321,0.16356
1006,0.00045,0.163722
1007,0.000507,0.163939
1008,0.000787,0.163942
1009,0.000561,0.165085
1010,0.000359,0.163856
1011,0.00008,0.163531
1012,0.000114,0.163643
1013,0.000367,0.1649
1014,0.0003,0.163166
1015,0.001463,0.164387
1016,0.000677,0.16377
1017,0.000096,0.16389
1018,0.000107,0.162835
1019,0.000248,0.165355
1020,0.000436,0.165137
1021,0.000311,0.163548
1022,0.000335,0.165062
1023,0.000436,0.162819
1024,0.000595,0.163847
1025,0.00186,0.163831
1026,0.000275,0.163555
1027,0.000069,0.164049
1028,0.00028,0.163403
1029,0.000081,0.164105
1030,0.000377,0.163581
1031,0.000893,0.164013
1032,0.000512,0.164094
1033,0.000259,0.163605
1034,0.000677,0.163115
1035,0.000567,0.164249
1036,0.000195,0.163257
1037,0.000685,0.163555
1038,0.000747,0.163606
1039,0.003064,0.16335
1040,0.000426,0.163752
1041,0.000093,0.165072
1042,0.00017,0.164498
1043,0.000097,0.163859
1044,0.000101,0.164421
1045,0.000321,0.164117
1046,0.000732,0.16302
1047,0.000488,0.164206
1048,0.000507,0.162402
1049,0.000297,0.163019
1050,0.000181,0.162989
1051,0.000317,0.162583
1052,0.000096,0.163616
1053,0.000288,0.16228
1054,0.002112,0.162792
1055,0.000355,0.163124
1056,0.000396,0.162722
1057,0.000179,0.162378
1058,0.000078,0.162728
1059,0.000184,0.163993
1060,0.000506,0.162613
1061,0.000638,0.163223
1062,0.000458,0.162673
1063,0.000345,0.162395
1064,0.000553,0.163013
1065,0.000819,0.162921
1066,0.000681,0.162099
1067,0.000196,0.16321
1068,0.000181,0.162415
1069,0.000884,0.163422
1070,0.000636,0.162457
1071,0.000215,0.161988
1072,0.000499,0.161043
1073,0.000687,0.162658
1074,0.000183,0.163895
1075,0.00051,0.162276
1076,0.000346,0.162407
1077,0.000428,0.163465
1078,0.000489,0.162106
1079,0.000179,0.161321
1080,0.000477,0.161636
1081,0.001114,0.163444
1082,0.000472,0.161807
1083,0.000085,0.162851
1084,0.000086,0.161688
1085,0.000375,0.162888
1086,0.00021,0.161997
1087,0.000995,0.162262
1088,0.000669,0.162875
1089,0.000648,0.163234
1090,0.000212,0.163591
1091,0.000224,0.162306
1092,0.000767,0.161393
1093,0.000562,0.162051
1094,0.001484,0.162413
1095,0.000247,0.161713
1096,0.000491,0.162052
1097,0.000166,0.162586
1098,0.000353,0.161768
1099,0.000185,0.161966
1100,0.000443,0.162092
1101,0.000211,0.161404
1102,0.001161,0.162112
1103,0.000978,0.161391
1104,0.000219,0.162139
1105,0.001528,0.161756
1106,0.000601,0.161544
1107,0.000265,0.163101
